STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC
C202303101050136m071159,,,,C202303101050136m071159,,162.5564992153055,-7.199679683709536
T202301101050235m045951,,,T202301101050235m045951,,,162.59790830677372,-4.997406358067272
C202312201050424m071018,,,,C202312201050424m071018,,162.67658309608046,-7.171738110540593
T202212191050549m075228,,,T202212191050549m075228,,,162.72891995852797,-7.874347934458691
T202212191050561m050047,,,T202212191050561m050047,,,162.73361194465272,-5.012961376405975
A202312201050572m053559,,,,A202312201050572m053559,,162.73847473834385,-5.599651098995476
C202401071050577m071418,,,,C202401071050577m071418,,162.74032686126773,-7.238417553745815
T202212191050592m062917,,,T202212191050592m062917,,,162.74652644877378,-6.487918854469683
C202212131051029m061317,,,C202212131051029m061317,C202302021051029m061318,,162.76200706051904,-6.221519343637359
T202212131051058m073020,,,T202212131051058m073020,,,162.77408263772406,-7.505536808853601
C202301181051139m075800,,,C202301181051139m075800,,,162.8077558695336,-7.966684696058085
C202301181051148m073714,,,C202301181051148m073714,,,162.81149175363169,-7.620433528663378
A202302021051369m073747,,,,A202302021051369m073747,,162.9036434555623,-7.6297283197757375
A202312141051378m081307,,,,A202312141051378m081307,,162.90739825379097,-8.218689885229134
T202212251051422m072729,,,T202212251051422m072729,,,162.92582026099433,-7.458173452632969
T202312201051448m065928,,,,T202312201051448m065928,,162.93648323266038,-6.991003278420295
C202212191051546m061511,,,C202212191051546m061511,,,162.9773078238286,-6.253022006555183
T202312141052059m081537,,,,T202312141052059m081537,,163.02437616404654,-8.260226580732963
T202401041052071m074954,,,,T202401041052071m074954,,163.0297476305941,-7.8316685434354945
T202303011052128m080812,,,,T202303011052128m080812,,163.05332381102036,-8.13669557460584
C202212131052139m051055,,,C202212131052139m051055,,,163.0581123279613,-5.181892109401861
T202302021052172m052234,,,,T202302021052172m052234,,163.07161708161456,-5.376011960328456
T202212221052190m082253,,,T202212221052190m082253,,,163.07916057116412,-8.381387056554255
T202212131052224m080253,,,T202212131052224m080253,T202302021052224m080253,,163.0934814924514,-8.04792563197879
C202303281052242m074807,,,,C202303281052242m074807,,163.1008334232608,-7.801935828593947
A202302141052264m081609,,,,A202302141052264m081609,,163.10996092119532,-8.269180096635345
T202212191052449m074348,,,T202212191052449m074348,,,163.18719292850986,-7.729901111563285
T202303101052459m071931,,,,T202303101052459m071931,,163.19118037449678,-7.325300259055742
A202212191052479m070720,,,A202212191052479m070720,,,163.1997477295989,-7.122322316893334
T202401041052574m072336,,,,T202401041052574m072336,,163.23929240317386,-7.39345742330564
T202303221053024m073331,,,,T202303221053024m073331,,163.25990932695206,-7.5585617464841794
A202312201053114m073711,,,,A202312201053114m073711,,163.2975389596314,-7.619734349855628
T202301241053172m054247,,,T202301241053172m054247,T202302021053172m054247,,163.32174154043628,-5.713027616944011
A202302021053318m054316,,,,A202302021053318m054316,,163.3822961058321,-5.721032192711293
A202401161053414m071906,,,,A202401161053414m071906,,163.4224678457936,-7.318249490570301
C202212131053464m075330,,,C202212131053464m075330,,,163.44347841631702,-7.89169813526213
C202401101053490m055945,,,,C202401101053490m055945,,163.45429315813533,-5.995793651616565
T202312141053545m060529,,,,T202312141053545m060529,,163.4769935741451,-6.091434804015559
C202301241053584m073717,,,C202301241053584m073717,,,163.49332417247263,-7.621376501792775
T202301101054055m055847,,,T202301101054055m055847,T202302021054056m055847,,163.52312231750022,-5.979802079207099
C202212281054070m060114,,,C202212281054070m060114,,,163.5290806365593,-6.020668239952746
A202212131054076m072908,,,A202212131054076m072908,,,163.53172005850612,-7.485558760108511
T202212221054111m072552,,,T202212221054111m072552,,,163.54609889118944,-7.431187832056638
