,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
507,C202302171249467p071460,,,,C202302171249467p071460,,192.44469239235943,7.24995064976552,0.9611643794163675,0.00012883251586353958,GALAXY,Y
508,T202204211249554p051628,,T202204211249554p051628,,,,192.4809991923286,5.274539346445692,0.21200962088809877,1.7376812674713065e-05,QSO,Y
509,A202302171249592p053848,,,,A202302171249592p053848,,192.4966657367973,5.646787927546437,,,,N
510,C202302171250059p073533,,,,C202302171250059p073533,,192.5244815838934,7.592498259523762,,,,N
511,C202401011250112p050657,,C202401011250112p050657,,,,192.54661589988663,5.115727358128841,,,,N
512,C202205061250125p064623,,C202205061250125p064623,,,,192.5521427588163,6.7731604130227305,,,,N
513,T202204211250189p064047,,T202204211250189p064047,,,,192.57876611166728,6.679687313324263,,,,N
514,C202401071250243p080213,,C202401071250243p080213,,,,192.6012742484681,8.036917007943515,,,,N
515,A202205091250290p060343,,A202205091250290p060343,,,,192.6207529315306,6.061886875132064,0.4235267745891277,3.512438765958082e-05,GALAXY,Y
516,C202302171250495p062351,,,,C202302171250495p062351,,192.70636700558867,6.397565074064324,,,,N
517,T202204211250589p075841,,T202204211250589p075841,,,,192.7452134597496,7.97815432987495,,,,N
518,T202205091251046p074011,,T202205091251046p074011,,,,192.76905681214456,7.6697172893638275,,,,N
519,T202204211251150p055833,,T202204211251150p055833,,,,192.8126899946461,5.97576795831301,,,,N
520,T202204211251155p062458,,T202204211251155p062458,,,,192.8145954364976,6.416186747851897,0.13231097927155788,9.814490641861286e-06,GALAXY,Y
521,T202204211251360p051947,,T202204211251360p051947,,,,192.89998674312457,5.329583856989463,0.08283648357432093,1.8059242977519484e-05,GALAXY,Y
522,T202204241251482p081227,,T202204241251482p081227,,,,192.9507361222284,8.207572048027984,,,,N
523,C202207011251586p080735,,C202207011251586p080735,,,,192.99410798831687,8.126435493000008,,,,N
524,T202401131252034p060920,,T202401131252034p060920,,,,193.0142872743716,6.155574062384456,,,,N
525,C202302171252133p072201,,,,C202302171252133p072201,,193.0552639021037,7.366920344206345,0.6952809915492971,6.342436392634477e-05,QSO,Y
526,A202204241252144p071306,,A202204241252144p071306,,,,193.06019281222297,7.21835595626349,,,,N
527,C202303281252172p054506,,,,C202303281252172p054506,,193.0715279092052,5.751627341970951,,,,N
528,T202204211252248p061512,,T202204211252248p061512,,,,193.1035021446256,6.253398159720048,,,,N
529,T202303011252266p075225,,,,T202303011252266p075225,,193.11066194126943,7.873652998177108,0.33220312899086324,2.616788275033513e-05,GALAXY,Y
530,C202302171252267p061514,,,,C202302171252267p061514,,193.1111812941193,6.253798646230655,0.20958585347350517,4.657962406469482e-06,GALAXY,Y
