21A,22A,22B,23A,23B,ra_obj,dec_obj
,,T202209140000522p001552,,T202308030000522p001552,0.2176778894627489,0.26444489693917217
,,T202209090000531m001009,,T202308220000531m001009,0.22133482170352178,-0.16912939852363296
,,T202210110000531m003713,,T202308040000531m003713,0.22135958312108528,-0.6202350981971132
,,T202209140000532m001733,,T202308030000532m001733,0.22154766495259537,-0.2924967193876028
,,T202210140000537p002156,,,0.22369744527406965,0.3656768732929373
,,,,T202308020000551p001555,0.2296168203937441,0.2652383512068476
,,T202210060000553m003558,,,0.2305531168181005,-0.5994295253062779
,,T202210020000554m000630,,T202308130000554m000630,0.2309341776824567,-0.10825785640074687
,,T202210020000566p004547,,T202308220000566p004547,0.23579199874941992,0.7629995127113897
,,T202209090000569m002219,,T202308020000569m002219,0.23712659337937225,-0.37195148721811694
,,T202209090000572p001718,,,0.2382701121535433,0.2882385505457509
,,T202209090000583m000836,,T202308030000583m000836,0.24279906315470612,-0.14338414844800826
,,C202209140000593m004723,,,0.2471246950388659,-0.7897240091644828
,,C202307260000594m004718,,C202308130000593m004718,0.24728266518591213,-0.7883968878396497
,,T202210020000597p001859,,T202308220000597p001859,0.24876611505158056,0.31633274381375537
,,T202210060001004m002131,,T202308310001004m002131,0.25153288966896525,-0.3585885050976554
,,,,T202308020001005p001555,0.25212681343441545,0.2652426220089628
,,,,T202308130001012p005238,0.2548913865450686,0.8772478258404246
,,,,T202308310001027m004227,0.26126926130814354,-0.7073828873066483
,,,,T202308040001027p002544,0.2612851923196331,0.4289806834758753
,,,,T202308020001028p005230,0.26180528142543835,0.8748915345612118
,,T202209090001038p005136,,T202308020001038p005136,0.2660293938967868,0.8599095217931811
,,T202210110001039m001022,,T202308040001039m001022,0.2662708659408679,-0.17287134883850147
,,T202209140001045p005103,,T202308130001044p005103,0.26853957266320094,0.8509476726402426
,,C202210110001081m005532,,A202308040001081m005532,0.28383767718494013,-0.9255050337308828
,,,,C202308130001184m010654,0.32662164990521536,-1.115043509654371
