STANDARD_NAME,21A,22A,22B,23A,23B,ra_obj,dec_obj
T202204211259012p074327,,T202204211259012p074327,,,,194.755091554258,7.724119779187491
T202204211254314p050954,,T202204211254314p050954,,,,193.63072016458992,5.165124265381063
T202206082116266p041605,,T202206082116266p041605,,,,319.11077207962535,4.268039917735266
C202204211507010p072628,,C202204211507010p072628,,,,226.75422449957503,7.441060550624435
C202205181253304p060311,,C202205181253304p060311,,,,193.37670667945176,6.0531609002006626
T202204211426361m013102,,T202204211426361m013102,,,,216.65057146082802,-1.5171621057027431
A202205152129079p044236,,A202205152129079p044236,,,,322.28294952090334,4.709929318066048
T202204241509329p082207,,T202204241509329p082207,,,,227.38713339400985,8.36852048910434
T202204211234042p065629,,T202204211234042p065629,,,,188.51748188674702,6.9413937597140425
T202205061448130p065147,,T202205061448130p065147,,,,222.05419191371757,6.863117075475599
T202204211251155p062458,,T202204211251155p062458,,,,192.8145954364976,6.4161867478518975
C202205031241044p052336,,C202205031241044p052336,,,,190.26850326978038,5.393356632259517
C202204211303383p064949,,C202204211303383p064949,,,,195.90950402551144,6.830142301379027
T202204211458225p064402,,T202204211458225p064402,,,,224.5936721998896,6.733906501966362
T202204211300576p070235,,T202204211300576p070235,,,,195.2400053422649,7.043097465711597
T202205152112062p040824,,T202205152112062p040824,,,,318.0257201657781,4.139936478826947
T202204211506557p073253,,T202204211506557p073253,,,,226.7322430297409,7.548188493817699
C202204241421556m003346,,C202204241421556m003346,,,,215.48154360406338,-0.5628641634876371
T202204211510263p060023,,T202204211510263p060023,,,,227.6094663686825,6.006508304728332
A202204211259373p053653,,A202204211259373p053653,,,,194.90532218367431,5.614637959982541
T202206112114401p044350,,T202206112114401p044350,,,,318.6670058558976,4.730517627385254
A202211040326132m141252,,,A202211040326132m141252,,,51.55481043950229,-14.214505959534245
A202207312121171p053705,,A202207312121171p053705,A202208212121171p053705,,,320.32138098955073,5.618044170250784
T202212160300554m164945,,,T202212160300554m164945,,,45.23082387059663,-16.829209392327705
C202212131037371m071613,,,C202212131037371m071613,C202302021037371m071613,,159.40454797045314,-7.270342451132381
C202212190343016m164040,,,C202212190343016m164040,,,55.75659715973993,-16.677797479250987
T202209090325211m152342,,,T202209090325211m152342,,,51.338053880151406,-15.395097943725858
T202212191046047m054312,,,T202212191046047m054312,,,161.5195823784638,-5.719935909098807
C202208212125515p061805,,,C202208212125515p061805,,,321.4647842213732,6.301256698837151
C202210060349568m152123,,,C202210060349568m152123,,,57.486793098390855,-15.356516229684608
T202211160338380m162712,,,T202211160338380m162712,,,54.658317313525,-16.453377963329668
C202212191049483m063944,,,C202212191049483m063944,C202302021049483m063944,,162.45120277078726,-6.662272057207253
T202209050326046m164315,,,T202209050326046m164315,,,51.519119445938244,-16.720968958629015
T202212251113110m064110,,,T202212251113110m064110,,,168.2956925331073,-6.686235943714059
C202212191114175m054260,,,C202212191114175m054260,,,168.57277887855219,-5.716539631668793
A202208212124034p053416,,,A202208212124034p053416,,,321.0143196492443,5.571026106106788
C202208212117223p043920,,,C202208212117223p043920,,,319.3430796386594,4.655609144205573
C202211160325309m171024,,,C202211160325309m171024,,,51.3786234457051,-17.173207543710895
A202212190317496m164557,,,A202212190317496m164557,,,49.456738844496826,-16.765912582907795
A202212191041000m054522,,,A202212191041000m054522,,,160.25014862973302,-5.75610476446299
T202210060316578m143306,,,T202210060316578m143306,,,49.24087392337239,-14.551585954127589
T202209050339095m170845,,,T202209050339095m170845,,,54.78977138028328,-17.145906524388838
C202212191101184m072716,,,C202212191101184m072716,,,165.32676926723553,-7.4545219279260095
C202209050300167m151036,,,C202209050300167m151036,,,45.06955633625879,-15.176529832602592
T202211160323398m161250,,,T202211160323398m161250,,,50.9157880647497,-16.214018641346154
C202208032106241p061948,,C202208032106241p061948,C202208152106241p061948,,,316.6005671462517,6.330027717341489
C202211190315503m141943,,,C202211190315503m141943,,,48.95938839179922,-14.328495948057025
T202303221241538p062850,,,,T202303221241538p062850,,190.47416878164447,6.480526231838155
C202302081300240p072206,,,,C202302081300240p072206,,195.0999541897327,7.36836030570498
C202303101501128p071729,,,,C202303101501128p071729,,225.30351412611043,7.291399080763463
T202305122220025m031207,,,,T202305122220025m031207,,335.01027333504885,-3.2020165157808638
T202305121257327p063440,,,,T202305121257327p063440,,194.3862459690069,6.577813181900091
C202303221112325m054845,,,,C202303221112325m054845,,168.13535918805186,-5.8124521279718255
A202304031501591p071640,,,,A202304031501591p071640,,225.4961964941267,7.277700361777433
T202305121246099p053142,,,,T202305121246099p053142,,191.54114413705898,5.52838446953401
T202303011104122m065418,,,,T202303011104122m065418,,166.05087943125574,-6.904866034626719
T202303101052459m071931,,,,T202303101052459m071931,,163.19118037449678,-7.325300259055742
C202304121424554m010302,,,,C202304121424554m010302,,216.2306432082597,-1.0505254671999378
T202306142220071m031954,,,,T202306142220071m031954,T202308132220071m031954,335.02950378742827,-3.3316624296236568
T202303221427198m014020,,,,T202303221427198m014020,,216.8325546464352,-1.672115622121732
T202302021044136m055215,,,,T202302021044136m055215,,161.05666676171703,-5.870902483730987
T202303251512327p073247,,,,T202303251512327p073247,,228.1360900648408,7.5464373950679775
T202303101500070p072655,,,,T202303101500070p072655,,225.02929763134662,7.448690797450701
C202304121333009p185228,,,,C202304121333009p185228,,203.25364295155214,18.87457796723781
T202305252211516m032728,,,,T202305252211516m032728,,332.96517528090294,-3.457879567210143
C202302051058315m064558,,,,C202302051058315m064558,,164.63137339265782,-6.766199863408136
T202302171243584p063129,,,,T202302171243584p063129,,190.99347531016411,6.524706654769823
