STANDARD_NAME,SEMESTER_NAME,SCIENCE_NAME,TEMPLATE_NAME,MJD_OBS,FILTER,DETPOS,X_OBJ,Y_OBJ,X_FPHOT,Y_FPHOT,X_nSTAR,Y_nSTAR,X_nGAL,Y_nGAL,X_ALT,Y_ALT,MAG_ALT,MAGERR_ALT,SNR_ALT,CNNSCORE_ALT,ZMIN_TEMP,ZMAX_TEMP,ZMIN_SCI,ZMAX_SCI,ZMIN_DIFF,ZMAX_DIFF,APER_FPHOT,ZP_FPHOT,LIM_MAG3,LIM_MAG5,MAG_FPHOT,MAGERR_FPHOT,SNR_FPHOT,STATUS_FPHOT,REAL,LIMIT
C202212190343016m164040,C202212190343016m164040,b'c4d_220905_095400_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59827.41250618,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-38.99129,63.700296752352784,-66.25240319905926,66.25240319905926,5.6,29.404755,23.51929352463284,22.96467165059195,24.121965779646974,0.48741627758584155,2.2274594631460407,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220905_095539_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59827.41365392,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-79.80904,168.73214666570402,-142.39764723122764,142.39764723122764,5.17,29.049501,22.675317683433775,22.120695809392885,23.951849114318534,1.0576787530562735,1.0264931548097722,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220909_085305_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59831.3701981,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-72.828316,140.00857332036546,-143.0597888667601,143.0597888667601,6.36,29.531192,22.53465153648773,21.980029662446835,23.669410174866016,0.6897066524244895,1.5741474961615871,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220909_090717_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59831.38005911,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-38.476486,78.4236198845033,-76.3418394437037,76.3418394437037,14.07,28.910458,21.93713059460203,21.38250872056114,24.127240373703103,2.2291737732087706,0.4870414379751094,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220909_093634_xxx_i_v1',b'c4d_141029_084137_xxx_i_v1',59831.40039688,b'i',b'N6',573.1335265892085,1291.4783824947242,572.8319628341353,1291.0345833787271,567.4309032791638,1261.531785262935,575.013026310628,1292.1301454248046,,,,,,,-58.764587,95.24912601520512,-66.10122,120.35781190149864,-116.19435999630689,116.19435999630689,6.59,29.530742,23.039784308164126,22.485162434123236,23.957342665491627,0.7320243092877834,1.4831474668598401,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220911_075125_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59833.32737846,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-88.105644,172.5064885072272,-164.36921717637492,164.36921717637492,13.32,29.535826,21.70825161426815,21.15362974022726,23.161508702750062,1.0429605602831113,1.0409789606092938,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220911_082415_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59833.3501822,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-65.166405,114.62875930282964,-108.43815007791859,108.43815007791859,15.03,28.973625,21.547861893610172,20.993240019569278,22.688595618300475,0.8436371498852656,1.2869276799245446,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220912_074653_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59834.32422588,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-145.24673014172703,145.97744231723325,-135.85516151701773,135.85516151701773,5.17,29.049501,22.70834740958466,22.15372553554377,23.886208630670325,0.9677573709730237,1.1218721061337842,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_220912_080112_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59834.33417738,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-45.561924,97.06040061218769,-74.16759386125904,74.16759386125904,5.6,29.404755,23.063774867225757,22.509152993184863,23.47912675887434,0.30600753200711606,3.547951884971095,b'q',True,False
C202212190343016m164040,C202212190343016m164040,b'c4d_220912_090520_xxx_i_v1',b'c4d_141029_084137_xxx_i_v1',59834.37870759,b'i',b'N6',573.1335265892085,1291.4783824947242,572.8319628341353,1291.0345833787271,567.4309032791638,1261.531785262935,575.013026310628,1292.1301454248046,,,,,,,-58.764587,95.24912601520512,-81.93871,141.35716135115908,-142.14036073050917,142.14036073050917,5.73,29.584112,22.939940725865142,22.385318851824252,22.97073935704819,0.3030782862880703,3.5822427706617765,b'q',True,False
