,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
400,C202303221259428p061954,,,,C202303221259428p061954,,194.92852021159743,6.331552115537562,0.22347355852998105,5.939316905400934e-06,GALAXY,Y
401,A202204211259373p053653,,A202204211259373p053653,,,,194.90532218367431,5.61463795998254,,,,N
402,T202302261259045p053355,,,,T202302261259045p053355,,194.7688607387665,5.565376775343183,,,,N
403,T202204211259012p074327,,T202204211259012p074327,,,,194.755091554258,7.724119779187491,0.20517306484888917,1.930691491110016e-05,GALAXY,Y
404,T202302171258543p064617,,,,T202302171258543p064617,,194.72639792969804,6.771422209881368,,,,N
405,A202204301258212p080821,,A202204301258212p080821,,,,194.588236800118,8.139246533332281,0.335003297562427,2.059512321249224e-05,GALAXY,Y
406,T202302171257537p053649,,,,T202302171257537p053649,,194.47354632084287,5.613508571767249,,,,N
407,T202302171257472p051934,,,,T202302171257472p051934,,194.4466305992761,5.3261925704071125,0.2633671332800986,9.608605887516843e-05,GALAXY,Y
408,T202303311257436p051636,,,,T202303311257436p051636,,194.4317273513228,5.276613708239829,,,,N
409,C202302081257413p072657,,,,C202302081257413p072657,,194.42201261777203,7.4491258255901265,0.25138532276651526,2.598323957032109e-05,GALAXY,Y
410,T202305121257327p063440,,,,T202305121257327p063440,,194.3862459690069,6.577813181900091,0.09308843024996855,5.002836441541448e-06,GALAXY,Y
411,A202204211256473p055357,,A202204211256473p055357,,,,194.19725261587013,5.8991635811624805,-0.00011737036278901465,2.8331864482219317e-05,STAR,Y
412,T202205181256398p052743,,T202205181256398p052743,,,,194.16581843278743,5.461925058585651,,,,N
413,T202205181254445p074026,,T202205181254445p074026,,,,193.6854144458612,7.673786612781409,0.16752995909508384,4.093279408153246e-05,GALAXY,Y
414,T202204211254314p050954,,T202204211254314p050954,,,,193.63072016458992,5.165124265381063,,,,N
415,C202303011253385p064956,,,,C202303011253385p064956,,193.41060577327968,6.832201190827386,,,,N
416,C202205181253304p060311,,C202205181253304p060311,,,,193.37670667945176,6.053160900200663,,,,N
417,T202304031253194p070254,,,,T202304031253194p070254,,193.331015618521,7.048381292781513,,,,N
418,T202204241252333p052245,,T202204241252333p052245,,,,193.1388480913906,5.3792547506495225,,,,N
419,T202302081252283p055222,,,,T202302081252283p055222,,193.11774070950128,5.872658663555825,,,,N
420,T202303011252266p075225,,,,T202303011252266p075225,,193.11066194126943,7.873652998177108,0.33220312899086324,2.616788275033513e-05,GALAXY,Y
421,T202204211252248p061512,,T202204211252248p061512,,,,193.1035021446256,6.253398159720048,,,,N
422,C202303281252172p054506,,,,C202303281252172p054506,,193.0715279092052,5.751627341970951,,,,N
423,T202204211251360p051947,,T202204211251360p051947,,,,192.89998674312457,5.329583856989463,0.08283648357432093,1.8059242977519484e-05,GALAXY,Y
424,T202204211251150p055833,,T202204211251150p055833,,,,192.8126899946461,5.97576795831301,,,,N
425,T202205091251046p074011,,T202205091251046p074011,,,,192.76905681214456,7.6697172893638275,,,,N
426,T202204211250589p075841,,T202204211250589p075841,,,,192.7452134597496,7.97815432987495,,,,N
427,T202204211250189p064047,,T202204211250189p064047,,,,192.57876611166728,6.679687313324263,,,,N
428,T202303011249134p050901,,,,T202303011249134p050901,,192.3058346511016,5.15038093815441,,,,N
429,T202305121248551p074827,,,,T202305121248551p074827,,192.22964701475928,7.807414330737847,,,,N
430,T202303221248361p054326,,,,T202303221248361p054326,,192.1504927951848,5.723770216355394,,,,N
431,T202205181247348p072118,,T202205181247348p072118,,,,191.89486950714368,7.3550239854510595,0.08225490946989712,1.1181924603277908e-05,GALAXY,Y
432,T202302171247291p072255,,,,T202302171247291p072255,,191.87134450233296,7.382002418541407,,,,N
433,C202303281246351p051357,,,,C202303281246351p051357,,191.6460797740305,5.23245666417805,,,,N
434,T202204241245051p073915,,T202204241245051p073915,,,,191.271108257178,7.654080516523805,,,,N
435,T202204241244441p065832,,T202204241244441p065832,,,,191.18356866757145,6.975467645246823,0.08209112676655923,5.835138394272913e-06,GALAXY,Y
436,T202204211244050p054952,,T202204211244050p054952,,,,191.0206571542772,5.831190794676303,,,,N
437,T202303221241538p062850,,,,T202303221241538p062850,,190.4741687816445,6.480526231838155,,,,N
438,T202204301241442p071753,,T202204301241442p071753,,,,190.4343258484101,7.298070496298302,0.2609480306979027,6.342808194697646e-05,GALAXY,Y
439,C202302081241390p074348,,,,C202302081241390p074348,,190.41260100224383,7.730133557774094,0.13167547675294503,1.007791820877132e-05,GALAXY,Y
440,C202302171241015p064244,,,,C202302171241015p064244,,190.2561997529231,6.7121289814369725,,,,N
